r,b,swpd,livre,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time
1,0,0,116252,82196,6153768,0,0,20236,20,704,1879,23,1,73,3,0,21:23:19 2019-05-28
1,0,0,114924,82196,6154840,0,0,19856,0,659,1302,22,1,74,3,0,21:23:20 2019-05-28
1,0,0,112968,82196,6156580,0,0,16824,364,642,1494,19,1,74,6,0,21:23:21 2019-05-28
1,0,0,114980,82196,6154604,0,0,20224,0,708,1467,24,1,74,2,0,21:23:22 2019-05-28
1,0,0,115224,82196,6154012,0,0,20240,0,647,1797,22,1,74,3,0,21:23:23 2019-05-28
1,0,0,117160,82204,6152008,0,0,18616,32,646,1321,22,0,72,5,0,21:23:24 2019-05-28
0,1,0,114972,82204,6154008,0,0,20240,0,670,1375,23,1,74,3,0,21:23:25 2019-05-28
1,0,0,112596,82204,6155908,0,0,19524,0,651,1343,22,1,74,3,0,21:23:26 2019-05-28
1,0,0,110672,82204,6157944,0,0,20248,0,676,1755,22,1,74,3,0,21:23:27 2019-05-28
1,0,0,116496,82204,6151552,0,0,19576,0,673,2071,22,1,75,3,0,21:23:28 2019-05-28
0,1,0,114092,82212,6153484,0,0,20240,20,664,2013,23,0,73,3,0,21:23:29 2019-05-28
0,1,0,116104,82212,6151448,0,0,20240,0,648,1485,22,1,74,3,0,21:23:30 2019-05-28
0,2,0,109848,82216,6157024,0,0,15184,108552,569,1524,17,1,68,15,0,21:23:31 2019-05-28
0,2,0,109516,82216,6156952,0,0,4628,94208,353,1457,6,1,66,28,0,21:23:32 2019-05-28
0,2,0,116488,82224,6150952,0,0,5504,71680,426,1306,7,1,70,22,0,21:23:33 2019-05-28
0,3,0,116828,82228,6150888,0,0,4632,41008,342,877,5,1,58,36,0,21:23:34 2019-05-28
0,3,0,116332,82228,6151084,0,0,5052,18504,418,2152,7,1,49,43,0,21:23:35 2019-05-28
0,3,0,113076,82232,6154572,0,0,6164,38912,409,1967,7,1,51,41,0,21:23:36 2019-05-28
2,3,0,109284,82232,6158392,0,0,6644,65536,448,2835,8,1,50,42,0,21:23:37 2019-05-28
0,3,0,117360,82236,6149736,0,0,6368,32768,397,2076,7,0,56,37,0,21:23:38 2019-05-28
0,3,0,115156,82236,6152272,0,0,5444,32768,427,2270,7,0,71,22,0,21:23:39 2019-05-28
2,2,0,111528,82236,6155600,0,0,6184,65536,438,2096,8,1,71,20,0,21:23:40 2019-05-28
1,2,0,110552,82240,6156640,0,0,5724,32768,416,2301,7,1,58,34,0,21:23:41 2019-05-28
0,2,0,114644,82240,6152200,0,0,6040,8192,418,2142,7,0,67,26,0,21:23:42 2019-05-28
0,2,0,110960,82240,6156036,0,0,6432,0,446,1994,8,0,71,21,0,21:23:43 2019-05-28
0,2,0,116684,82240,6150488,0,0,5856,0,394,2923,7,1,68,25,0,21:23:44 2019-05-28
2,0,0,115740,82252,6151764,0,0,13136,48,530,1644,15,1,74,11,0,21:23:45 2019-05-28
1,0,0,113040,82252,6153856,0,0,20244,0,661,1333,22,1,75,3,0,21:23:46 2019-05-28
1,0,0,110900,82252,6155500,0,0,19860,0,689,1433,22,1,75,3,0,21:23:47 2019-05-28
1,0,0,113356,82252,6153144,0,0,20240,0,634,1333,23,1,74,2,0,21:23:48 2019-05-28
0,1,0,114800,82252,6151124,0,0,20236,0,658,1971,22,1,74,3,0,21:23:49 2019-05-28
1,0,0,116628,82260,6148956,0,0,18428,20,658,1735,21,1,73,5,0,21:23:50 2019-05-28
1,0,0,117164,82260,6148404,0,0,20244,0,661,1413,22,1,74,2,0,21:23:51 2019-05-28
1,0,0,112840,82260,6152196,0,0,19548,124,647,1312,23,1,74,3,0,21:23:52 2019-05-28
1,0,0,109860,82260,6155340,0,0,20244,0,667,1551,22,1,75,3,0,21:23:53 2019-05-28
1,0,0,116632,82260,6148104,0,0,19856,0,657,1957,23,1,74,3,0,21:23:54 2019-05-28
1,0,0,114924,82268,6149616,0,0,19692,28,687,1702,22,1,74,4,0,21:23:55 2019-05-28
1,0,0,115268,82268,6149400,0,0,20788,0,676,1388,23,1,73,2,0,21:23:56 2019-05-28
1,0,0,113264,82268,6151336,0,0,19708,0,691,1582,23,1,74,3,0,21:23:57 2019-05-28
