r,b,swpd,livre,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time
1,0,0,1855600,110236,4385608,0,0,20244,0,644,1334,22,1,74,3,0,21:20:33 2019-05-28
1,0,0,1812600,110236,4428256,0,0,20620,0,656,1383,22,1,74,3,0,21:20:34 2019-05-28
1,0,0,1770732,110236,4470372,0,0,20932,0,641,1298,22,1,75,3,0,21:20:35 2019-05-28
1,0,0,1729220,110244,4511796,0,0,20244,20,659,1478,22,1,74,4,0,21:20:36 2019-05-28
1,0,0,1687056,110244,4553572,0,0,20672,0,653,1129,22,1,75,3,0,21:20:37 2019-05-28
1,0,0,1644956,110244,4595584,0,0,20908,0,668,1366,23,1,74,3,0,21:20:38 2019-05-28
1,0,0,1603444,110244,4636932,0,0,20240,0,640,1640,22,1,74,3,0,21:20:39 2019-05-28
1,0,0,1560320,110244,4680016,0,0,20960,0,689,1645,23,1,74,2,0,21:20:40 2019-05-28
1,0,0,1520064,110252,4719832,0,0,20032,20,721,1254,24,1,71,4,0,21:20:41 2019-05-28
1,0,0,1478428,110252,4761664,0,0,20444,0,652,1851,22,1,75,3,0,21:20:42 2019-05-28
0,2,0,1453016,110256,4786640,0,0,12300,77828,521,1783,14,1,64,23,0,21:20:43 2019-05-28
1,1,0,1441688,110256,4797360,0,0,5444,124928,392,1568,7,1,70,22,0,21:20:44 2019-05-28
0,2,0,1429364,110260,4809452,0,0,5752,75776,381,1293,6,1,70,23,0,21:20:45 2019-05-28
0,3,0,1420884,110264,4817476,0,0,3988,38976,351,1287,5,0,65,29,0,21:20:46 2019-05-28
0,3,0,1408188,110268,4830136,0,0,6140,24576,400,2021,7,1,59,34,0,21:20:47 2019-05-28
0,3,0,1395540,110268,4842528,0,0,6152,65536,404,1887,7,1,72,20,0,21:20:48 2019-05-28
1,3,0,1383124,110268,4854976,0,0,6040,32768,414,2309,7,1,72,21,0,21:20:49 2019-05-28
0,3,0,1371824,110272,4865852,0,0,5676,57344,409,2011,6,1,63,30,0,21:20:50 2019-05-28
0,3,0,1359484,110272,4878112,0,0,5820,32768,388,1739,7,0,67,26,0,21:20:51 2019-05-28
1,2,0,1347316,110276,4890320,0,0,5988,63488,425,2331,7,1,71,21,0,21:20:52 2019-05-28
0,3,0,1333644,110276,4903468,0,0,6852,34816,409,2200,7,0,71,22,0,21:20:53 2019-05-28
1,1,0,1322268,110276,4914988,0,0,5060,26756,433,2678,6,1,69,24,0,21:20:54 2019-05-28
0,2,0,1309388,110276,4927992,0,0,6644,0,427,2165,7,1,69,23,0,21:20:55 2019-05-28
1,1,0,1296808,110276,4940712,0,0,6364,0,422,2770,7,0,68,25,0,21:20:56 2019-05-28
0,2,0,1284380,110276,4953016,0,0,6004,0,405,2398,7,0,70,23,0,21:20:57 2019-05-28
1,0,0,1248716,110288,4988076,0,0,17120,60,634,1144,19,1,71,9,0,21:20:58 2019-05-28
1,0,0,1207204,110288,5029400,0,0,20248,0,662,1907,22,1,74,3,0,21:20:59 2019-05-28
1,0,0,1165320,110288,5071148,0,0,20620,0,654,1539,22,1,74,3,0,21:21:00 2019-05-28
1,0,0,1123576,110288,5112840,0,0,20728,0,659,1364,22,1,73,3,0,21:21:01 2019-05-28
1,0,0,1079940,110288,5156096,0,0,20996,0,649,1597,23,1,74,2,0,21:21:02 2019-05-28
1,0,0,1039404,110296,5196424,0,0,20248,52,630,1341,22,1,74,4,0,21:21:03 2019-05-28
1,0,0,998636,110296,5237004,0,0,19480,76,681,1948,22,1,74,4,0,21:21:04 2019-05-28
