sda             78,00    0,00  20628,00      0,00     0,00     0,00   0,00   0,00    5,23    0,00   0,41   264,46     0,00   3,59  28,00
sda             78,00    0,00  20712,00      0,00     0,00     0,00   0,00   0,00    5,33    0,00   0,42   265,54     0,00   3,59  28,00
sda             75,00    2,00  20240,00     36,00     1,00     7,00   1,32  77,78    4,69   32,00   0,42   269,87    18,00   3,84  29,60
sda             78,00    0,00  20996,00      0,00     0,00     0,00   0,00   0,00    5,44    0,00   0,42   269,18     0,00   3,64  28,40
sda             78,00    0,00  20792,00      0,00     0,00     0,00   0,00   0,00    5,18    0,00   0,40   266,56     0,00   3,64  28,40
sda             81,00    0,00  21312,00      0,00     0,00     0,00   0,00   0,00    4,35    0,00   0,35   263,11     0,00   3,01  24,40
sda             78,00    0,00  20676,00      0,00     0,00     0,00   0,00   0,00    4,97    0,00   0,39   265,08     0,00   3,44  26,80
sda             73,00    2,00  19808,00     20,00     1,00     3,00   1,35  60,00    4,77   16,00   0,39   271,34    10,00   3,63  27,20
sda             79,00    0,00  21036,00      0,00     0,00     0,00   0,00   0,00    5,22    0,00   0,40   266,28     0,00   3,44  27,20
sda             28,00   40,00   7716,00  40960,00     1,00     0,00   3,45   0,00   53,29  325,00  35,76   275,57  1024,00  11,47  78,00
sda             21,00   45,00   5476,00  46080,00     0,00     0,00   0,00   0,00   70,48  932,27 147,66   260,76  1024,00  15,15 100,00
sda             25,00   42,00   6260,00  43008,00     0,00     0,00   0,00   0,00   65,44 1524,48 145,03   250,40  1024,00  14,93 100,00
sda             21,00   50,00   5496,00  50212,00     0,00     8,00   0,00  13,79   74,29 2467,92 142,52   261,71  1004,24  14,08 100,00
sda             22,00   39,00   5724,00  39936,00     0,00     0,00   0,00   0,00   88,00 3213,74 145,03   260,18  1024,00  16,39 100,00
sda             25,00   45,00   6652,00  46080,00     0,00     0,00   0,00   0,00   60,16 3340,98 142,64   266,08  1024,00  14,29 100,00
sda             23,00   45,00   6236,00  46080,00     0,00     0,00   0,00   0,00   73,57 3236,53 145,86   271,13  1024,00  14,71 100,00
sda             25,00   43,00   6264,00  44288,00     0,00     0,00   0,00   0,00   67,36 3228,93 144,45   250,56  1029,95  14,71 100,00
sda             24,00   46,00   6668,00  47104,00     0,00     0,00   0,00   0,00   61,83 3257,30 143,57   277,83  1024,00  14,29 100,00
sda             25,00   45,00   6140,00  45824,00     0,00     0,00   0,00   0,00   64,96 3177,24 147,26   245,60  1018,31  14,29 100,00
sda             22,00   41,00   6232,00  42240,00     0,00     0,00   0,00   0,00   76,18 3242,05 142,56   283,27  1030,24  15,87 100,00
sda             23,00   41,00   5832,00  41728,00     0,00     0,00   0,00   0,00   62,09 3302,63 130,91   253,57  1017,76  15,62 100,00
sda             23,00   48,00   5928,00  49408,00     0,00     0,00   0,00   0,00   76,00 3257,42  88,98   257,74  1029,33  14,08 100,00
sda             25,00   41,00   6824,00  41728,00     0,00     0,00   0,00   0,00   62,88 3335,22  45,16   272,96  1017,76  15,21 100,40
sda             48,00   26,00  12984,00  23600,00     1,00     9,00   2,04  25,71   21,75 2786,62   5,41   270,50   907,69   8,76  64,80
sda             78,00    0,00  20672,00      0,00     0,00     0,00   0,00   0,00    4,67    0,00   0,36   265,03     0,00   3,23  25,20
sda             80,00    0,00  21620,00      0,00     0,00     0,00   0,00   0,00    4,40    0,00   0,35   270,25     0,00   3,10  24,80
sda             75,00    0,00  20036,00      0,00     0,00     0,00   0,00   0,00    5,97    0,00   0,46   267,15     0,00   3,95  29,60
sda             77,00    0,00  20452,00      0,00     0,00     0,00   0,00   0,00    4,78    0,00   0,36   265,61     0,00   3,27  25,20
sda             77,00    2,00  20628,00     20,00     1,00     3,00   1,28  60,00    5,30   18,00   0,44   267,90    10,00   3,85  30,40
sda             74,00    0,00  19864,00      0,00     0,00     0,00   0,00   0,00    5,03    0,00   0,37   268,43     0,00   3,35  24,80
sda             48,00    3,00  12664,00    132,00     0,00     2,00   0,00  40,00    5,92    0,00   0,43   263,83    44,00   5,02  25,60
sda            121,00    0,00  31568,00      0,00     0,00     0,00   0,00   0,00   21,39    0,00   2,48   260,89     0,00   7,04  85,20
sda            135,00    0,00  35136,00      0,00     0,00     0,00   0,00   0,00   18,52    0,00   2,47   260,27     0,00   6,52  88,00
sda             74,00    2,00  19676,00     36,00     1,00     7,00   1,33  77,78    5,35   16,00   0,43   265,89    18,00   3,84  29,20
sda             81,00    0,00  20940,00      0,00     0,00     0,00   0,00   0,00    4,64    0,00   0,37   258,52     0,00   3,11  25,20
sda             71,00    7,00  19160,00     48,00     0,00     5,00   0,00  41,67    6,99    2,86   0,52   269,86     6,86   3,90  30,40
sda             79,00    0,00  20624,00      0,00     0,00     0,00   0,00   0,00    4,76    0,00   0,38   261,06     0,00   3,14  24,80
sda             79,00    0,00  20932,00      0,00     0,00     0,00   0,00   0,00    4,15    0,00   0,33   264,96     0,00   2,94  23,20
sda             72,00    2,00  19556,00     20,00     1,00     3,00   1,37  60,00    5,67   32,00   0,47   271,61    10,00   4,27  31,60
sda             79,00    0,00  20924,00      0,00     0,00     0,00   0,00   0,00    4,71    0,00   0,37   264,86     0,00   3,14  24,80
